FACTORY,FTY STATUS,SALES DOLLARS,SALES UNITS,MMO,IMO,MARK DOWNS,DAMAGE RATE,Lead Time Days,On Time %,Reject %,Pairs Defect %,Pkg Defect %,"Customer Damage per 100,000",Total Damage Rate,Receipt Units,Receipt 1st Cost,Average 1st Cost,Year
U.N.R.,SA,24.22983,1.147,0.445067918,0.556560481,0.200360465,0.04864706,,,0,0,0,0.034001744,0.04864706,,,,2000
XINQIAO,SA,15.24689,1.095,0.250090346,0.484242121,0.435640317,0.018355219,74,1,0,0.108108108,0,0.015525114,0.018355219,2.4,23.28,9.7,2000
YINGCHANG,SA,23.0614,1.054,0.547557824,0.604241697,0.142144883,0.001188133,,,0,0,0,0.000948767,0.001188133,,,,2000
QUANTAK,SA,30.85298,1.029,0.365781523,0.522126477,0.197119695,0.133808793,,,0,0,0,0.070942663,0.133808793,,,,2000
PERFORMANC,SA,5.68891,1.021,-0.214824984,0.564668511,1.723683447,0.067733538,,,0,0,0,0.017629775,0.067733538,,,,2000
QIANGXING,TARGET,70771.68385,6671.391,0.544310681,0.63859484,0.250926759,0.009776801,59.36775074,0.999840241,0.000228827,0.038529247,0.000546798,0.007224131,0.009776801,7511.478,29080.98392,3.871539519,2000
HONGQIAO,TARGET,40296.67756,4379.245,0.555198206,0.621515615,0.167180582,0.008056017,51.68635435,1,0,0.043316802,7.18752E-05,0.005487247,0.008056017,4302.528,11825.75439,2.748559542,2000
QINGYUN,TARGET,44478.28846,3670.593,0.579785706,0.638146564,0.147131529,0.014379462,51.62252626,1,0.002269079,0.043926263,0.000479914,0.010756845,0.014379462,3969.253,15680.1527,3.950403943,2000
PROTONIC,TARGET,54346.42058,3159.294,0.510632658,0.60372759,0.22281702,0.012219431,68.81986362,0.982063101,0.014757102,0.064115552,0.000261429,0.009188129,0.012219431,3357.508,21991.5484,6.549961579,2000
HUEYFUNG,TARGET,43655.24018,3151.281,0.521577612,0.620731413,0.252145836,0.009099741,73.27470256,0.997068786,0.001371589,0.036232063,0.001234903,0.006621117,0.009099741,4005.755,20539.01026,5.127375553,2000
HANJIANG,TARGET,25810.88127,2750.464,0.496379812,0.611620208,0.284370418,0.012184083,72.32495324,0.999594256,0.000989142,0.03412346,0.000107419,0.00663888,0.012184083,2832.239,9736.21745,3.437639779,2000
DAEDOKINSH,TARGET,29918.97587,2478.06,0.479540394,0.588703109,0.256405218,0.008915271,67.88996299,1,0,0.037756258,0,0.005273077,0.008915271,2423.895,13237.24356,5.461145619,2000
CHINACROWN,TARGET,34300.87791,2430.309,0.553910368,0.617662458,0.158981412,0.007852223,61.557638,1,0.005486874,0.040335016,0.000181417,0.006619734,0.007852223,2872.45,13928.17794,4.848884381,2000
LICHANG,TARGET,22600.92505,2118.566,0.521936797,0.614857633,0.227247835,0.01412024,50.55134834,1,0,0.045693563,0.000241765,0.009599418,0.01412024,1903.855,5768.53284,3.029922363,2000
LIFA,TARGET,16758.72233,2025.993,0.550787959,0.641812232,0.244981667,0.009253519,58.18550583,1,0,0.043412527,0.000345572,0.005728549,0.009253519,2411.53,5425.06863,2.249637628,2000
CHINWANG,TARGET,11824.70378,1913.909,0.462584278,0.614926709,0.387222227,0.008256262,93.27421326,0.997020093,0,0.04511436,0,0.004264048,0.008256262,2029.423,6258.25206,3.083759305,2000
DONGFANG,TARGET,11707.53227,1810.477,0.448754146,0.584675119,0.322031396,0.005199782,88.35921734,0.98434962,0.001618565,0.048981653,0.001627111,0.002062992,0.005199782,2007.73,6601.00208,3.287793717,2000
GENTLE,TARGET,22642.4996,1705.926,0.535756911,0.611056219,0.185062613,0.008551753,68.94730487,0.973618652,0.001757422,0.04273812,0,0.005995571,0.008551753,1800.447,8066.97054,4.480537633,2000
HONGMAO,TARGET,17797.59153,1682.357,0.453765087,0.60635291,0.379958372,0.007562698,69.3513924,0.980199659,0,0.044367816,0.00045977,0.005413239,0.007562698,2259.207,9797.3535,4.336633828,2000
ZENGLEINFL,TARGET,21566.80592,1674.371,0.483713339,0.564613276,0.177133897,0.008632077,79.41642486,0.989387651,0.021986749,0.004584762,0.002385567,0.006870043,0.008632077,1651.035,8423.53209,5.101970637,2000
DBLESTAR-1,TARGET,11133.30307,1593.419,0.535552502,0.60648581,0.175213118,0.005055634,61.38814019,1,0.002171787,0.038084674,0.002465027,0.003068873,0.005055634,1868.422,3233.31946,1.730508129,2000
HUAFENG,TARGET,12059.49451,1582.093,0.473900361,0.639769126,0.438807162,0.022021152,73.29356178,1,0,0.045742754,0.000724638,0.012576378,0.022021152,1897.643,5328.26316,2.807832221,2000
HUALUAN,TARGET,10627.87143,1455.783,0.483157884,0.649076862,0.462921082,0.009399915,66.55284156,1,0.010452749,0.054080062,0.000384911,0.00495747,0.009399915,1375.21,2938.63206,2.136860596,2000
GRENDENSB,TARGET,10071.76933,1284.215,0.549086754,0.635957729,0.229465494,0.008951737,98.46107919,1,0.002976867,0.004147336,7.02938E-05,0.005693751,0.008951737,1188.84,3409.51236,2.867932068,2000
SUNROLL,TARGET,9398.31478,1104.134,0.522881561,0.600369947,0.180973709,0.013463792,53.00698876,0.995157083,0.010182886,0.054374533,0.001068262,0.007520826,0.013463792,1132.2,2648.77638,2.339495125,2000
GEVOER,TARGET,14269.41689,972.66,0.508334365,0.570857103,0.139212171,0.006549534,60.09680186,0.944803973,0.009982784,0.003026227,0.000403497,0.005525055,0.006549534,1089.21,6210.69197,5.702015194,2000
FANDREIS,TARGET,10985.18761,892.994,0.452511477,0.568811632,0.260032833,0.00961276,70.23324662,0.998723738,0,0.00282853,0.000611574,0.007456937,0.00961276,1040.334,5231.71384,5.028879033,2000
YONGCHAO,TARGET,3573.05498,717.197,0.303192844,0.604755811,0.755050248,0.007831769,53.08216571,1,0,0.033495563,0,0.002831858,0.007831769,801.402,1952.65138,2.436544181,2000
HUIYIN#2,TARGET,6760.31733,716.219,0.495499962,0.579052077,0.189422984,0.009201919,70.959299,1,0.001929395,0.034495106,0.005848651,0.007109557,0.009201919,689.503,2485.60011,3.604915584,2000
KINGWANG,TARGET,20961.60209,700.157,0.490677542,0.561498878,0.135894647,0.025299958,72.46030539,1,0.002391197,0.053049311,0.000153618,0.022267863,0.025299958,774.378,9318.7326,12.03382922,2000
ANDREZAFL,TARGET,7284.75041,676.728,0.499763717,0.590442696,0.206725862,0.014687809,67.357858,0.984825723,0.013695281,0.005844448,0.000299715,0.011772825,0.014687809,693.742,2854.65715,4.114868568,2000
DAJILI,TARGET,7354.83054,562.32,0.494357046,0.599960304,0.24379124,0.019861498,67.27907053,1,0,0.04302444,0,0.010842581,0.019861498,474.406,2441.66,5.146773017,2000
DAIELY,TARGET,6462.40898,506.307,0.474725352,0.583623704,0.251069679,0.010330631,68.04264965,0.992466958,0.031589502,0.005867188,0.000622278,0.00767716,0.010330631,534.735,2788.55097,5.214827849,2000
IBECAL,TARGET,5612.96001,486.307,0.47528241,0.570260859,0.21058816,0.010736602,70.36829754,1,0.036678736,0.006948254,0.000274273,0.008042245,0.010736602,517.195,2338.5063,4.521517609,2000
YINGLONG,TARGET,2202.96915,353.775,0.418990225,0.578547842,0.376912723,0.001686156,70.04616146,1,0,0.051823417,0.000479846,0.001020423,0.001686156,427.098,1432.02708,3.352923872,2000
GEVOERFL,TARGET,6123.19931,320.68,0.534343387,0.574109603,0.087336352,0.006090664,52.62776057,0.912050902,0.016167978,0.002356353,0.001087548,0.00596233,0.006090664,382.426,2654.33594,6.940783158,2000
YONGJIN,TARGET,2253.08648,311.909,0.482481263,0.610049132,0.322722379,0.004274146,82.49285887,1,0,0.019600726,0,0.001365783,0.004274146,311.166,728.3034,2.340562272,2000
WANHUI#2,TARGET,1192.12924,227.596,0.381980766,0.6767201,0.907246265,0.004513454,47.81969751,1,0,0.035078251,0,0.002100213,0.004513454,267.444,567.60822,2.122344192,2000
PRESTIGE,TARGET,8185.9497,221.735,0.563566777,0.585895219,0.027682793,0.024411769,,,0.029285071,0.007746934,0.100710136,0.020380184,0.024411769,392.315,5161.46042,13.15641875,2000
HZARCA,TARGET,3576.48287,154.352,0.557791395,0.62774956,0.17533248,0.010797303,104.2675977,1,0,0.064330544,0.001569038,0.009860578,0.010797303,145.65,1093.1808,7.505532441,2000
NANPING,TARGET,1056.48841,132.292,0.338209664,0.608121474,0.649678372,0.039158811,,,0,0,0,0.011051311,0.039158811,,,,2000
WINPROFILE,TARGET,2977.41427,128.956,0.585760916,0.645752954,0.163503002,0.005358334,55.92865746,1,0,0.035222895,0,0.005552281,0.005358334,142.814,1072.70048,7.511171734,2000
FEITIAN,TARGET,793.33099,102.076,0.506750392,0.61837844,0.285389393,0.007099685,43.17816139,1,0,0.069010417,0,0.005397939,0.007099685,109.968,243.02928,2.21,2000
HUEPHONG,TARGET,1279.64365,96.61,0.529788516,0.505094249,-0.058369961,0.010069405,64.25951826,1,0,0.040093552,0.001670565,0.007431943,0.010069405,69.198,271.27398,3.920257522,2000
GLORY,TARGET,3193.29227,74.8,0.508562387,0.544541334,0.06983693,0.009375487,83.81608866,0.986597554,0.06027971,0.054384146,0.000230441,0.015347594,0.009375487,204.092,2994.94944,14.67450679,2000
ZENGLEIN,TARGET,516.36475,60.039,0.011087569,0.541350756,1.124311565,0.031905722,,,0,0,0,0.008161362,0.031905722,,,,2000
SHENGFENG,TARGET,732.35552,43.58,0.527101195,0.588638164,0.147610931,0.001993895,82.25217359,1,0,0.047368421,0,0.004130335,0.001993895,164.106,1004.7435,6.122527513,2000
JUSHENG,TARGET,880.19159,30.285,0.483449291,0.539855836,0.111742217,0.011080201,41,1,0,0,0,0.009113422,0.011080201,85.221,868.29273,10.18871792,2000
VICTORIA,TARGET,339.63365,27.877,0.425873496,0.532648642,0.220339121,0.007663493,67.92322835,1,0,0.045118343,0,0.008035298,0.007663493,68.832,399.2904,5.800941423,2000
LEEFUNG,TARGET,321.46924,24.838,0.287028893,0.546483327,0.539166298,0.030488391,62,1,0,0.12244898,0,0.009421048,0.030488391,2.4,34.92,14.55,2000
MINXING,TARGET,127.74025,23.625,0.475662056,0.6743226,0.580541372,0.030083783,47.51718785,1,0,0.063711911,0,0.007280423,0.030083783,22.254,54.07722,2.43,2000
UNIQUENE#2,TARGET,85.8762,7.839,0.580102636,0.6543495,0.185760548,0.02924978,,,0,0,0,0.013777268,0.02924978,,,,2000
HULI,TARGET,49.19248,5.089,0.232569084,0.478282373,0.460367723,0.00991493,,,0,0,0,0.004912556,0.00991493,,,,2000
HAIFONG#2,CORE,289695.0389,24580.241,0.534895747,0.629013301,0.242451448,0.011297994,58.08910548,0.999906852,0.006853536,0.045481963,8.52336E-05,0.0077044,0.011297994,25380.22,107247.02,4.225614278,2001
FMINDO,CORE,127993.9903,11467.402,0.550752206,0.626874468,0.193114384,0.01082741,58.07683875,0.993219509,0.000988188,0.049610245,0.009600871,0.007685263,0.01082741,12248.149,47398.22581,3.869827662,2001
GUANGWEI,CORE,116887.2347,8628.346,0.536784536,0.619706523,0.206711314,0.011454294,57.5173719,0.998241262,0.000230047,0.053491217,0.001330919,0.008009646,0.011454294,9381.464,44579.51157,4.751871517,2001
PUTIENSH#2,CORE,100222.4853,8329.502,0.520983476,0.624977518,0.26718006,0.009942751,48.15685222,1,0,0.032180244,1.43598E-05,0.00683066,0.009942751,7943.397,36324.99929,4.572980463,2001
SHENGCHANG,CORE,93854.10647,8009.152,0.551920083,0.641273267,0.239461616,0.009327153,60.85032315,0.999706108,0.00012587,0.044849545,5.83345E-05,0.005991021,0.009327153,7753.772,31465.53114,4.058093421,2001
LONGHAI,CORE,103896.0771,7991.575,0.53515895,0.622335347,0.220430537,0.01035446,56.21856723,1,0,0.035119987,2.89649E-05,0.007511035,0.01035446,8202.347,37447.51802,4.565463765,2001
CHAOQUAN,CORE,91848.32374,7861.347,0.532005951,0.636367642,0.277394325,0.009578756,44.94344042,0.99911791,0,0.03402105,1.60932E-05,0.005916543,0.009578756,8183.218,34995.51342,4.276497757,2001
CONTINENTA,CORE,94919.51731,7471.006,0.49906191,0.617846888,0.29794991,0.012817701,60.94952125,1,0,0.043800314,0.000024732,0.009052195,0.012817701,7714.582,36567.97911,4.740111533,2001
JUWANG,CORE,79060.18373,6906.889,0.493196403,0.6165278,0.307338514,0.014262244,69.87620464,1,0.000279059,0.037768661,0.000104046,0.009442891,0.014262244,6573.97,28786.23666,4.378820813,2001
UNIQUENESS,CORE,77842.41585,6887.623,0.555556658,0.641547479,0.23073942,0.009117545,46.0871342,0.981221367,0,0.032627808,0,0.006400757,0.009117545,6858.885,26491.97543,3.862431784,2001
LEADER#2,CORE,130574.3695,6293.652,0.531106986,0.596636995,0.149089588,0.013413396,50.80689971,1,0,0.050598714,2.67482E-05,0.010040593,0.013413396,6605.423,49268.04151,7.458726188,2001
WINPROFIL2,CORE,84833.60843,5802.507,0.515030351,0.624291892,0.27608917,0.014938532,59.25865573,1,0,0.038372196,0.000106392,0.00863799,0.014938532,5560.427,28679.18911,5.157731431,2001
BRINGIANT,CORE,69643.43184,5645.142,0.498422817,0.588305988,0.211548043,0.006828976,70.43152791,1,0.002490533,0.050566369,0.000309985,0.005110057,0.006828976,6228.433,28264.7081,4.538012707,2001
DBLESTAR-M,CORE,41872.93151,5385.563,0.512740573,0.63882121,0.339341392,0.009618595,58.17840746,0.998966206,0,0.050435799,3.54308E-05,0.004816767,0.009618595,5780.829,13841.65266,2.394406176,2001
NEWWINNEX,CORE,57705.17734,3323.506,0.565268616,0.630881131,0.165315108,0.012362469,52.90071948,0.999612435,0.010499978,0.045313523,0.000224068,0.009195109,0.012362469,3189.359,18725.80748,5.871338874,2001
TONGCHUANG,SA,34427.22903,2677.501,0.491821275,0.611418599,0.290341054,0.017682721,80.19728391,0.967478277,0.034316655,0.058702777,0.003709439,0.011943973,0.017682721,2627.197,12989.38661,4.944199696,2001
AZALEIA,SA,19927.5389,1767.708,0.506026497,0.585865866,0.186192888,0.006734783,75.96156316,0.99775639,0.005539005,0.002658985,0.000443164,0.004695346,0.006734783,1962.866,8379.18952,4.268854583,2001
ENCA,SA,24664.46086,1665.32,0.472497766,0.59972914,0.300192937,0.017282883,82.43504982,0.934348492,0.001203371,0.05478571,0.000116939,0.011861984,0.017282883,1659.561,9224.9395,5.558662502,2001
GLORYCH,SA,20737.81994,1636.829,0.432160754,0.57611261,0.324900968,0.01456909,74.06425631,1,0,0.034656458,0,0.008086978,0.01456909,1446.198,7700.66436,5.324764908,2001
SYNCO,SA,16259.68513,1286.141,0.511420634,0.612502595,0.247447255,0.013265773,82.70977374,1,0.033716828,0.038002172,0.040949279,0.008463302,0.013265773,1108.912,5120.9421,4.617987811,2001
SHENFA,SA,19497.44724,1236.444,0.531265872,0.606606303,0.178397986,0.013020682,77.93986427,1,0.003213941,0.047934798,0.000552563,0.008608558,0.013020682,982.168,5616.6404,5.718614738,2001
IFCO,SA,10474.63283,777.802,0.486907616,0.60906103,0.298923905,0.013650703,101.4685468,0.292130235,0,0.027015437,0.000214408,0.008427595,0.013650703,754.763,4789.34889,6.345500362,2001
HUIMAO,SA,5419.26875,763.696,0.387896991,0.590977704,0.48410522,0.012354106,62.55120287,1,0,0.046802429,0,0.005655392,0.012354106,727.86,2270.4804,3.119391641,2001
NANKANG,SA,6945.78317,614.214,0.435960266,0.611198945,0.424612116,0.025842609,88.22204841,1,0,0.060452418,0,0.00933388,0.025842609,381.112,1730.83036,4.541526795,2001
BLIP-FL1,SA,6495.81942,549.397,0.466737074,0.55786928,0.200143281,0.006140375,51.71395116,1,0,0.00311284,0.001089494,0.004264676,0.006140375,539.651,2567.43096,4.757576582,2001
REGER,SA,5004.50801,543.77,0.480664914,0.638644711,0.259608195,0.197014461,72.33468179,1,0.001599665,0.042932509,0.001819174,0.024118653,0.197014461,564.271,1750.40808,3.102069892,2001
YINGBAO,SA,3606.13984,504.265,0.505472755,0.647473155,0.38963811,0.01329802,50.61654207,1,0,0.030425334,0,0.007547619,0.01329802,517.605,1663.39557,3.213638914,2001
LOBELSON,SA,6802.94618,503.037,0.52951969,0.566607997,0.073509835,0.012400926,121.6936376,0.909635777,0,0.017595308,0,0.005824621,0.012400926,105.514,615.407,5.832467729,2001
GOLDFLEX,SA,7769.03585,500.477,0.535561631,0.600337131,0.148048278,0.013909821,42.06121298,1,0.007702297,0.000314399,0.009222385,0.010497985,0.013909821,569.395,3184.608,5.592967975,2001
WINGFOOT#1,SA,4208.70735,489.255,0.465352527,0.632051209,0.440862703,0.012270411,82.05038656,1,0.005291495,0.058919044,0,0.006857365,0.012270411,403.746,1009.1733,2.499525197,2001
TIANCHENG,SA,2616.47026,400.488,0.382674764,0.600847778,0.535712896,0.010645147,55.20724002,1,0,0.043318281,0,0.003046284,0.010645147,485.796,1262.42364,2.598670306,2001
M.C.,SA,3364.47188,347.009,0.428112438,0.587464797,0.378481104,0.007760588,159.6857157,0.9956136,0,0.019503546,0.000253293,0.004815437,0.007760588,366.648,1527.2496,4.16543824,2001
BOJOS,SA,4287.04215,317.217,0.582671365,0.616899137,0.080208374,0.00898941,83.49355632,0.677138336,0.048436896,0.105178857,0.004538174,0.008684907,0.00898941,676.424,3257.84256,4.81627287,2001
STOCK BUY,SA,2581.38151,309.498,0.382108346,0.578475182,0.450630992,0.014309768,13.80968108,0.495561978,0.037819369,0.02071066,0.039593909,0.004277895,0.014309768,308.136,1545.49578,5.015628748,2001
DAKALY,SA,2466.96814,257.03,0.416408848,0.573266939,0.353410142,0.013848841,125.0861632,1,0,0.001015916,0.000338639,0.009726491,0.013848841,265.896,1100.80944,4.14,2001
CHINGLEAD,SA,4907.88564,250.996,0.493046694,0.586029933,0.22015028,0.004428618,154.6866,0.896796914,0.064935466,0.075459172,0.117061297,0.003470175,0.004428618,267.486,1967.7201,7.356347996,2001
KINGFORCE,SA,3556.49777,243.943,0.294178765,0.593868107,0.714083901,0.023195746,90.23014444,1,0,0.042154567,0.00133824,0.014224634,0.023195746,300.766,2275.8489,7.566842329,2001
BUFENG,SA,1186.79194,183.251,0.400364296,0.59480427,0.459902475,0.020842196,33.58545576,1,0.01986755,0.042910448,0.03358209,0.005986325,0.020842196,68.934,225.1593,3.26630255,2001
SHINGTAI,SA,2808.62796,170.405,0.484642234,0.590761609,0.244878638,0.013763012,106.1111626,0.933782509,0,0.047468354,0,0.010621754,0.013763012,121.514,828.6419,6.819312178,2001
RONGGUANG,SA,36.74585,117.063,-3.56867102,0.714622075,14.95751275,0.052814672,,,0,0,0,0.000230645,0.052814672,,,,2001
FRANKLIN,SA,2988.92638,104.683,0.427036798,0.577762912,0.091946972,0.292319809,,,0,0,0,0.05512834,0.292319809,67.723,685.65409,10.12439038,2001
SANDRA,SA,2050.61312,92.362,0.507636618,0.568315297,0.125578666,0.014973253,40.57483323,1,0.106010906,0.015625,0,0.017366449,0.014973253,153.472,1228.3082,8.003467734,2001
SHINSANTA,SA,564.83257,85.186,0.310671603,0.603974067,0.731508047,0.008033248,65.20994475,0.170718232,0,0.065402224,0,0.004073439,0.008033248,40.08,154.311,3.85007485,2001
KAIBUO,SA,2844.92882,82.64,0.521178878,0.570541041,0.102781756,0.014183715,46.88929593,0.910829164,0.017808528,0.053015075,0.009045226,0.007006292,0.014183715,188.406,1208.1276,6.412362664,2001
CARNELLA,SA,711.63338,82.153,0.209872406,0.581576905,0.873674714,0.014458358,66.53060199,1,0,0,0,0.00747386,0.014458358,73.044,367.587,5.032405126,2001
SHANGYI,SA,1164.72774,69.856,0.434871277,0.595619838,0.378853946,0.01842926,64.1995201,1,0,0.030864198,0,0.009691365,0.01842926,50.022,342.6507,6.85,2001
CALZAGARVE,SA,731.4873,69.429,0.39753144,0.546956337,0.315392229,0.013793199,,,0,0.018817204,0,0.007979375,0.013793199,20.058,118.3422,5.9,2001
GREATYEAR,SA,638.44722,68.812,0.60127556,0.632356866,0.076964326,0.00779214,,,0,0,0,0.000959135,0.00779214,,,,2001
CIM,SA,930.79915,68.221,0.470597884,0.571596168,0.22453033,0.010343391,71.88429207,1,0.321469917,0.023914969,0.193534101,0.006127146,0.010343391,87.117,506.41425,5.813035917,2001
LONGPOWER,SA,864.58769,66.147,0.234811937,0.414278346,0.28282133,0.024059029,69.45297,0.904386279,0.112123874,0.0625,0,0.015662086,0.024059029,50.202,408.8838,8.144771125,2001
NOVELTY,SA,443.84071,64.717,0.496739517,0.582813378,0.197780686,0.008570395,58.50490905,0.974427278,0.021174691,0.063858696,0,0.005500873,0.008570395,76.764,234.89784,3.06,2001
DAYNAN,SA,981.80735,54.679,0.42037198,0.569243354,0.299346771,0.04981131,44.90909091,0.727272727,0.114068441,0.07540395,0,0.020483184,0.04981131,13.2,111.18,8.422727273,2001
GUOQIAO,SA,641.58418,52.659,0.409075517,0.571145312,0.365632815,0.012580407,68.19177076,1,0,0.008988764,0,0.007425132,0.012580407,16.332,141.6054,8.670426157,2001
WEIHUA,SA,1400.24488,46.323,0.437848593,0.51864941,0.16060183,0.006777672,73.26276746,1,0.020954696,0.061389338,0,0.007706755,0.006777672,65.244,855.72974,13.11583808,2001
AGUIA,SA,788.96504,40.279,0.48520264,0.556597233,0.155152844,0.005925839,111.1801668,1,0.124217173,0.049369748,0.00210084,0.006057747,0.005925839,50.478,376.7811,7.46426364,2001
LEADER,SA,737.72773,39.436,0.567700336,0.581554594,0.030824258,0.002874678,,,0,0,0,0.001927173,0.002874678,,,,2001
STOCKACCES,SA,440.73097,34.732,0.499716709,0.583516395,0.187968887,0.013763589,0,1,0,0,0,0.00653576,0.013763589,17.892,126.85428,7.09,2001
YUNGFONG,SA,192.08391,32.01,-0.093029135,0.572122562,1.508736416,0.046568294,0,0,0,0,0,0.010871603,0.046568294,,,,2001
DBLESTAR-G,SA,361.5169,31.867,0.064949329,0.59564182,1.195325668,0.118627151,0,0,0,0,0,0.021495591,0.118627151,,,,2001
WANHUI,SA,155.40491,30.717,0.144266163,0.619037919,1.169286865,0.075864012,,,0,0,0,0.012501221,0.075864012,,,,2001
AZALEIANE,SA,416.64894,26.449,0.548605956,0.60811562,0.14201061,0.010042579,,,0,0,0,0.005104163,0.010042579,,,,2001
CHUNGSHIH,SA,254.46005,24.564,0.523960048,0.622783599,0.25391534,0.007907764,114.8862333,0,0,0,0,0.007124247,0.007907764,25.104,112.968,4.5,2001
TREVO,SA,361.63628,22.293,0.533857554,0.580301859,0.108976317,0.001923203,,,0,0,0,0.001435428,0.001923203,,,,2001
GENFOOT,SA,233.92767,21.48,0.503361915,0.581118565,0.174081715,0.012259388,151.3998494,1,0,0,0,0.002932961,0.012259388,19.692,98.46,5,2001
HUEYFENGCH,SA,140.16286,21.392,0.323166993,0.632604111,0.821617224,0.020540391,,,0,0,0,0.006217277,0.020540391,,,,2001
ZHAONAN,SA,259.80521,19.07,0.486800823,0.597808238,0.253601881,0.022052945,,,0,0,0,0.0103828,0.022052945,,,,2001
FRIENDLY,SA,125.94714,18.779,0.291769071,0.600747809,0.742049958,0.031724023,18,1,0,0.105263158,0,0.003940572,0.031724023,,,,2001
HAILI,SA,80.91952,17.921,0.025811201,0.569134589,1.202531478,0.057967348,,,0,0,0,0.002901624,0.057967348,,,,2001
SAMJOO,SA,524.67758,17.16,0.436938891,0.5186741,0.144375942,0.024728691,,,0,0,0,0.011655012,0.024728691,,,,2001
GOLDENPERI,SA,72.46677,16.848,0.186883864,0.733968876,2.020081066,0.036289461,,,0,0,0,0.002611586,0.036289461,,,,2001
LUENTHAI,SA,78.89099,15.713,-0.01024046,0.600855972,1.509727283,0.021056904,,,0,0,0,0.004709476,0.021056904,,,,2001
SPARK,SA,145.67382,14.984,0.141970053,0.542067549,0.849688297,0.023904364,,,0,0,0,0.008942872,0.023904364,,,,2001
ACAFE,SA,219.93168,14.61,0.445482297,0.576527309,0.288636089,0.020522828,,,0.333287043,0.272222222,0.266666667,0.015331964,0.020522828,14.808,91.1412,6.154862237,2001
SUNGET,SA,163.86544,13.264,0.417621739,0.51715561,0.201567335,0.004624404,76.70248801,0.470623501,0,0.076404494,0,0.004749698,0.004624404,20.016,113.0904,5.65,2001
RALLYE,SA,293.86786,10.727,0.46595742,0.579840766,0.258142792,0.011944518,,,0,0.044117647,0,0.00689848,0.011944518,10.164,137.214,13.5,2001
SUPERSHARP,SA,64.47192,10.596,-0.137501101,0.550233439,1.463615788,0.063396282,,,0,0,0,0.009154398,0.063396282,,,,2001
YINGFAT,SA,131.43401,9.975,0.235182279,0.458650395,0.399647245,0.014416132,41,1,0,0.028571429,0,0.008421053,0.014416132,4.8,38.4,8,2001
PRIMANUSA,SA,73.34579,9.07,0.059522707,0.568131734,1.098461275,0.074039832,,,0,0,0,0.014443219,0.074039832,,,,2001
ABOUNDANCE,SA,103.01539,9.056,0.269813957,0.481206031,0.383283022,0.025004808,38,1,0,0.102880658,0,0.014355124,0.025004808,7.2,40.44,5.616666667,2001
ROMMUS FL,SA,142.25386,9.049,0.461833725,0.579289645,0.271596497,0.007588265,64,1,0,0,0.011904762,0.006741076,0.007588265,10.056,71.3976,7.1,2001
KITOKI,SA,50.98432,8.883,-0.101060875,0.520881025,1.263248191,0.033963972,,,0,0,0,0.010019138,0.033963972,,,,2001
PETRINI,SA,85.76099,8.842,0.398587166,0.578137028,0.339275351,0.08539407,,,0,0,0,0.050441077,0.08539407,,,,2001
BEIDER,SA,102.75965,8.261,0.066239813,0.414768687,0.58066313,0.013306877,,,0,0,0,0.007263043,0.013306877,,,,2001
JOULURNG,SA,83.73167,8.178,0.102908852,0.295344838,0.267587521,0.005429845,38,1,0,0.054054054,0,0.002934703,0.005429845,,,,2001
QUANTAK#2,SA,105.91754,7.277,-0.051888573,0.547973552,1.060444663,0.26667821,,,0,0,0,0.053593514,0.26667821,,,,2001
RUNDA,SA,55.42236,6.913,0.337181239,0.628628491,0.754560253,0.027991951,51.33333333,1,0,0.141791045,0,0.00752206,0.027991951,5.076,24.6186,4.85,2001
LIFENG,SA,70.93738,6.899,0.255136573,0.543205302,0.118169433,0.498234217,68.20676998,1,0.260296621,0.118261826,0.072607261,0.005797942,0.498234217,19.41,62.7453,3.232627512,2001
GUOHUAN,SA,49.50702,6.856,0.386383588,0.572428737,0.394376797,0.042065751,,,0,0,0,0.011231039,0.042065751,,,,2001
FABILLY,SA,139.38274,6.617,0.632768161,0.66010699,0.078432165,0.00201187,,,0,0,0,0.001057881,0.00201187,,,,2001
CALIPLASTI,SA,47.06244,5.695,-0.071873876,0.572286143,1.418978914,0.087074746,,,0,0,0,0.014223003,0.087074746,,,,2001
CORTI,SA,67.4038,5.225,0.522512084,0.58959078,0.162764562,0.000667173,62.68017914,0.38688806,0.327718961,0.006775068,0.317073171,0.0015311,0.000667173,42.756,203.6214,4.762405276,2001
EVERLEAD,SA,104.15654,5.174,0.46490158,0.492455856,-0.007040172,0.07772186,,,0,0,0,0.034789331,0.07772186,,,,2001
MONIA,SA,31.47097,4.671,0.164878617,0.578137028,0.928008256,0.053214121,,,0,0,0,0.014771997,0.053214121,,,,2001
TAKEPOINT,SA,62.94456,4.523,0.291069474,0.3902933,0.14776829,0.014972064,68,1,0,0.017804154,0,0.011717886,0.014972064,5.004,46.3062,9.25383693,2001
ASONIC,SA,47.70621,3.666,0.355504032,0.651262782,0.766674402,0.069821937,81,1,0,0.142857143,0,0.02700491,0.069821937,2.4,13.2,5.5,2001
ALMIRO,SA,18.66306,3.225,-0.084306646,0.523878953,1.24468817,0.032820449,,,0,0,0,0.008372093,0.032820449,,,,2001
LILIANA,SA,34.28314,2.82,0.2845702,0.583951905,0.64430096,0.052039866,,,0,0,0,0.025531915,0.052039866,,,,2001
RUNNINGSTA,SA,20.64024,2.764,0.183788076,0.611478536,0.994616342,0.106238106,,,0,0,0,0.023878437,0.106238106,,,,2001
